"Filename";"Keywords";"Length";"Description";"SourceString";"CategoryString"
"SY_plnm_n_2_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_3_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_4_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
